experiment,dataset,method,seed,trial,accuracy,best_so_far,elapsed_sec
exp1_baseline,CIFAR-100,LLM+Episodic,42,1,0.65,0.65,
exp1_baseline,CIFAR-100,LLM+Episodic,42,2,0.6544,0.6544,
exp1_baseline,CIFAR-100,LLM+Episodic,42,3,0.459,0.6544,
exp1_baseline,CIFAR-100,LLM+Episodic,42,4,0.6586,0.6586,
exp1_baseline,CIFAR-100,LLM+Episodic,42,5,0.6284,0.6586,
exp1_baseline,CIFAR-100,LLM+Episodic,42,6,0.6654,0.6654,
exp1_baseline,CIFAR-100,LLM+Episodic,42,7,0.6482,0.6654,
exp1_baseline,CIFAR-100,LLM+Episodic,42,8,0.6444,0.6654,
exp1_baseline,CIFAR-100,LLM+Episodic,42,9,0.6538,0.6654,
exp1_baseline,CIFAR-100,LLM+Episodic,42,10,0.6072,0.6654,
exp1_baseline,CIFAR-100,LLM+Episodic,42,11,0.6184,0.6654,
exp1_baseline,CIFAR-100,LLM+Episodic,42,12,0.6828,0.6828,
exp1_baseline,CIFAR-100,LLM+Episodic,42,13,0.7072,0.7072,
exp1_baseline,CIFAR-100,LLM+Episodic,42,14,0.6758,0.7072,
exp1_baseline,CIFAR-100,LLM+Episodic,42,15,0.6112,0.7072,
exp1_baseline,CIFAR-100,LLM+Episodic,42,16,0.693,0.7072,
exp1_baseline,CIFAR-100,LLM+Episodic,42,17,0.7772,0.7772,
exp1_baseline,CIFAR-100,LLM+Episodic,42,18,0.6584,0.7772,
exp1_baseline,CIFAR-100,LLM+Episodic,42,19,0.653,0.7772,
exp1_baseline,CIFAR-100,LLM+Episodic,42,20,0.6666,0.7772,
exp1_baseline,CIFAR-100,LLM+Episodic,42,21,0.4894,0.7772,
exp1_baseline,CIFAR-100,LLM+Episodic,42,22,0.6846,0.7772,
exp1_baseline,CIFAR-100,LLM+Episodic,42,23,0.645,0.7772,
exp1_baseline,CIFAR-100,LLM+Episodic,42,24,0.6982,0.7772,
exp1_baseline,CIFAR-100,LLM+Episodic,42,25,0.6412,0.7772,
exp1_baseline,CIFAR-100,LLM+Episodic,43,1,0.667,0.667,
exp1_baseline,CIFAR-100,LLM+Episodic,43,2,0.573,0.667,
exp1_baseline,CIFAR-100,LLM+Episodic,43,3,0.6382,0.667,
exp1_baseline,CIFAR-100,LLM+Episodic,43,4,0.6712,0.6712,
exp1_baseline,CIFAR-100,LLM+Episodic,43,5,0.747,0.747,
exp1_baseline,CIFAR-100,LLM+Episodic,43,6,0.6476,0.747,
exp1_baseline,CIFAR-100,LLM+Episodic,43,7,0.681,0.747,
exp1_baseline,CIFAR-100,LLM+Episodic,43,8,0.7074,0.747,
exp1_baseline,CIFAR-100,LLM+Episodic,43,9,0.7184,0.747,
exp1_baseline,CIFAR-100,LLM+Episodic,43,10,0.7738,0.7738,
exp1_baseline,CIFAR-100,LLM+Episodic,43,11,0.6376,0.7738,
exp1_baseline,CIFAR-100,LLM+Episodic,43,12,0.7338,0.7738,
exp1_baseline,CIFAR-100,LLM+Episodic,43,13,0.6878,0.7738,
exp1_baseline,CIFAR-100,LLM+Episodic,43,14,0.7256,0.7738,
exp1_baseline,CIFAR-100,LLM+Episodic,43,15,0.7812,0.7812,
exp1_baseline,CIFAR-100,LLM+Episodic,43,16,0.5896,0.7812,
exp1_baseline,CIFAR-100,LLM+Episodic,43,17,0.7096,0.7812,
exp1_baseline,CIFAR-100,LLM+Episodic,43,18,0.681,0.7812,
exp1_baseline,CIFAR-100,LLM+Episodic,43,19,0.6686,0.7812,
exp1_baseline,CIFAR-100,LLM+Episodic,43,20,0.6064,0.7812,
exp1_baseline,CIFAR-100,LLM+Episodic,43,21,0.6942,0.7812,
exp1_baseline,CIFAR-100,LLM+Episodic,43,22,0.6924,0.7812,
exp1_baseline,CIFAR-100,LLM+Episodic,43,23,0.678,0.7812,
exp1_baseline,CIFAR-100,LLM+Episodic,43,24,0.697,0.7812,
exp1_baseline,CIFAR-100,LLM+Episodic,43,25,0.6692,0.7812,
exp1_baseline,CIFAR-100,LLM+Episodic,44,1,0.769,0.769,
exp1_baseline,CIFAR-100,LLM+Episodic,44,2,0.6826,0.769,
exp1_baseline,CIFAR-100,LLM+Episodic,44,3,0.6362,0.769,
exp1_baseline,CIFAR-100,LLM+Episodic,44,4,0.6778,0.769,
exp1_baseline,CIFAR-100,LLM+Episodic,44,5,0.7042,0.769,
exp1_baseline,CIFAR-100,LLM+Episodic,44,6,0.6362,0.769,
exp1_baseline,CIFAR-100,LLM+Episodic,44,7,0.6546,0.769,
exp1_baseline,CIFAR-100,LLM+Episodic,44,8,0.669,0.769,
exp1_baseline,CIFAR-100,LLM+Episodic,44,9,0.67,0.769,
