experiment,dataset,method,seed,trial,accuracy,best_so_far,elapsed_sec
exp2_ablation,CIFAR-100,Legacy-Full,42,1,0.7416,0.7416,
exp2_ablation,CIFAR-100,Legacy-Full,42,2,0.75,0.75,
exp2_ablation,CIFAR-100,Legacy-Full,42,3,0.7596,0.7596,
exp2_ablation,CIFAR-100,Legacy-Full,42,4,0.7254,0.7596,
exp2_ablation,CIFAR-100,Legacy-Full,42,5,0.759,0.7596,
exp2_ablation,CIFAR-100,Legacy-Full,42,6,0.749,0.7596,
exp2_ablation,CIFAR-100,Legacy-Full,42,7,0.7256,0.7596,
exp2_ablation,CIFAR-100,Legacy-Full,42,8,0.7254,0.7596,
exp2_ablation,CIFAR-100,Legacy-Full,42,9,0.763,0.763,
exp2_ablation,CIFAR-100,Legacy-Full,42,10,0.7452,0.763,
exp2_ablation,CIFAR-100,Legacy-Full,42,11,0.759,0.763,
exp2_ablation,CIFAR-100,Legacy-Full,42,12,0.7254,0.763,
exp2_ablation,CIFAR-100,Legacy-Full,42,13,0.7452,0.763,
exp2_ablation,CIFAR-100,Legacy-Full,42,14,0.7372,0.763,
exp2_ablation,CIFAR-100,Legacy-Full,42,15,0.7254,0.763,
exp2_ablation,CIFAR-100,Legacy-Full,42,16,0.7254,0.763,
exp2_ablation,CIFAR-100,Legacy-Full,42,17,0.7288,0.763,
exp2_ablation,CIFAR-100,Legacy-Full,42,18,0.7386,0.763,
exp2_ablation,CIFAR-100,Legacy-Full,42,19,0.7452,0.763,
exp2_ablation,CIFAR-100,Legacy-Full,42,20,0.741,0.763,
exp2_ablation,CIFAR-100,Legacy-Full,42,21,0.7698,0.7698,
exp2_ablation,CIFAR-100,Legacy-Full,42,22,0.7452,0.7698,
exp2_ablation,CIFAR-100,Legacy-Full,42,23,0.7406,0.7698,
exp2_ablation,CIFAR-100,Legacy-Full,42,24,0.7406,0.7698,
exp2_ablation,CIFAR-100,Legacy-Full,42,25,0.741,0.7698,
exp2_ablation,CIFAR-100,Legacy-Full,43,1,0.7386,0.7386,
exp2_ablation,CIFAR-100,Legacy-Full,43,2,0.7324,0.7386,
exp2_ablation,CIFAR-100,Legacy-Full,43,3,0.7386,0.7386,
exp2_ablation,CIFAR-100,Legacy-Full,43,4,0.719,0.7386,
exp2_ablation,CIFAR-100,Legacy-Full,43,5,0.7342,0.7386,
exp2_ablation,CIFAR-100,Legacy-Full,43,6,0.7478,0.7478,
exp2_ablation,CIFAR-100,Legacy-Full,43,7,0.7478,0.7478,
exp2_ablation,CIFAR-100,Legacy-Full,43,8,0.7176,0.7478,
exp2_ablation,CIFAR-100,Legacy-Full,43,9,0.7478,0.7478,
exp2_ablation,CIFAR-100,Legacy-Full,43,10,0.719,0.7478,
exp2_ablation,CIFAR-100,Legacy-Full,43,11,0.7482,0.7482,
exp2_ablation,CIFAR-100,Legacy-Full,43,12,0.7324,0.7482,
exp2_ablation,CIFAR-100,Legacy-Full,43,13,0.732,0.7482,
exp2_ablation,CIFAR-100,Legacy-Full,43,14,0.7386,0.7482,
exp2_ablation,CIFAR-100,Legacy-Full,43,15,0.7386,0.7482,
exp2_ablation,CIFAR-100,Legacy-Full,43,16,0.7628,0.7628,
exp2_ablation,CIFAR-100,Legacy-Full,43,17,0.719,0.7628,
exp2_ablation,CIFAR-100,Legacy-Full,43,18,0.7478,0.7628,
exp2_ablation,CIFAR-100,Legacy-Full,43,19,0.7386,0.7628,
exp2_ablation,CIFAR-100,Legacy-Full,43,20,0.7618,0.7628,
exp2_ablation,CIFAR-100,Legacy-Full,43,21,0.7432,0.7628,
exp2_ablation,CIFAR-100,Legacy-Full,43,22,0.732,0.7628,
exp2_ablation,CIFAR-100,Legacy-Full,43,23,0.767,0.767,
exp2_ablation,CIFAR-100,Legacy-Full,43,24,0.744,0.767,
exp2_ablation,CIFAR-100,Legacy-Full,43,25,0.7202,0.767,
exp2_ablation,CIFAR-100,Legacy-Full,44,1,0.7606,0.7606,
exp2_ablation,CIFAR-100,Legacy-Full,44,2,0.7394,0.7606,
exp2_ablation,CIFAR-100,Legacy-Full,44,3,0.7432,0.7606,
exp2_ablation,CIFAR-100,Legacy-Full,44,4,0.7638,0.7638,
exp2_ablation,CIFAR-100,Legacy-Full,44,5,0.7206,0.7638,
exp2_ablation,CIFAR-100,Legacy-Full,44,6,0.7258,0.7638,
exp2_ablation,CIFAR-100,Legacy-Full,44,7,0.7558,0.7638,
exp2_ablation,CIFAR-100,Legacy-Full,44,8,0.736,0.7638,
exp2_ablation,CIFAR-100,Legacy-Full,44,9,0.732,0.7638,
exp2_ablation,CIFAR-100,Legacy-Full,44,10,0.765,0.765,
